,,,,,,,,,,
No.,Database,Dataset,Download Link,Ref.,Remarks,,COPD stage,Experiment type,Race,
,,,,,Experimental group,Description,,,,
2,Geo,GSE57148,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57148,PMID: 30214182,91 Ctr vs 98 COPD,"Ctr: GSM1375986-GSM1376076
COPD: GSM1376077-GSM1376174 ",1-2,"Bulk-RNA seq, raw counts","Asian
(Korean)",
5,Geo,GSE11906,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11906,PMID: 19852842,"42 healthy non-smokers,
49 healthy smokers,
11 symptomatic smokers(SYMs),
22 smokers with lone emphysema with normal spirometry(LODs),
20 smokers with COPD","Ctr:
small airways(non-smokers): GSM101095-GSM101106, GSM190149-GSM190156, GSM254149-GSM254152, GSM298219-GSM298229, GSM300859-GSM300860
small airways(smokers): GSM101108-GSM114090, GSM252871-GSM252885, GSM254157-GSM254161, GSM298230-GSM298247,  GSM300861
large airways(non-smokers): GSM114107-GSM114114, GSM252799-GSM252807, GSM256181-GSM256194
large airways(smokers): GSM114110-GSM114114, GSM252811-GSM252827, GSM256195-GSM256212
Trachea(non-smokers): GSM300881-GSM300897
Trachea(smokers):  GSM300898-GSM300912
Symptomatics:
SYM: GSM300871-GSM300880, GSM300913-GSM300915
LODs: GSM300862-GSM300870
early COPD(GOLD 1): GSM252842-GSM252854 
COPD(GOLD 2): GSM114092-GSM114095, GSM252830-GSM252841, GSM254163-GSM254176 ",1-2,"Arrays, raw data:
GPL570 [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"," European
/Hispanic
/Asian
/African",
7,Geo,GSE5058,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE5058,"PMID: 17108109, PMID: 19106307","12 normal non-smokers,
12 phenotypic normal smokers,
9 Early COPD,
6 COPD individuals","non-smokers: GSM101095-GSM101106,
smokers: GSM101107-GSM114090,
early COPD(GOLD 1): GSM114097-GSM114105,
COPD(GOLD 2): GSM114091-GSM114096","1,2","Arrays, raw data:
GPL570 [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",Asian/Black/ Hispanic/ White/ others,
12,Geo,GSE171541,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171541,PMID: 36539833,"3 elderly ctr(≥65),
3 young(≤40),
3 COPD","Ctr_e: GSM5226825-GSM5226827
Ctr_y: GSM5226828-GSM5226830
COPD:GSM5226822-GSM5226824",1-2,"Sc-RNA seq, raw conuts",Caucasians,
13,Geo,GSE227691,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227691,PMID: 37215140,"4 without(wo) COPD,
3 mild COPD,
3 moderate COPD","Ctr(wo COPD): GSM7105661-GSM7105663
milde COPD: GSM7105665-GSM7105668
moderate COPD: GSM7105669-GSM7105672","1,2","Sc-RNA seq, raw conuts","Asian
(Chinese)",
6,Geo,GSE20257,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20257,PMID: 20820852,"healthy smokers (n=53),
healthy nonsmokers (n=59),
COPD smokers (n=23)","non-smokers: GSM101095-GSM101106, GSM190149-GSM190156, GSM254149-GSM254152,GSM298219-GSM298229, GSM300859-GSM302397, GSM350871, GSM350873, GSM350955, GSM350956, GSM410161-GSM410163, GSM434049-GSM434052, GSM458579, GSM458580, GSM458581, GSM458582, GSM469991
Smokers: GSM101106-GSM114090, GSM252871-GSM252885, GSM254157-GSM254161, GSM298230-GSM298247, GSM302399, GSM350874, GSM350957, GSM350958, GSM364046, GSM364048, GSM410164, GSM410165, GSM434053-GSM434063, GSM470000 
COPD: GSM252828-GSM252841, GSM254163-GSM254176,GSM364037,GSM364038, GSM364041, GSM364045, GSM434064",2,"Arrays, raw data:
GPL570 [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",Black/White/others,
8,Geo,GSE8545,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE8545,PMID: 18339782,"18 normal non-smokers
18 normal smokers
18 smokers with COPD","non-smokers: GSM101095-GSM101106, GSM190151, GSM190153, GSM252867,GSM254149-GSM254152
Smokers: GSM101109-GSM114090, GSM252879, GSM252882, GSM252884, GSM252885, GSM254157-GSM254161
COPD: GSM114092, GSM114094, GSM114095, GSM252830, GSM252833, GSM252835, GSM252836, GSM252837, GSM252839, GSM252841, GSM254163, GSM254169, GSM254171-GSM254176",2,"Arrays, raw data:
GPL570 [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",African/ European/ Others,
17,Geo,GSE279570,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279570,?,7 Ctr vs 11 COPD,"Ctr: GSM8576142-GSM8576148,
COPD: GSM8576149-GSM8576159",2,"Sc-RNA seq, raw conuts","Asian
(Chinese)",
18,Geo,GSE249584,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249584,PMID: 39810158,"7 Ctr vs 8 COPD
(Blood)","Ctr: GSM7950680-GSM7950684, GSM7950687, GSM7950691
COPD: GSM7950677-GSM7950679, GSM7950685,GSM7950686, GSM7950688-GSM7950690",2,"Sc-RNA seq, raw conuts","Asian
(South Korean)",
3,Geo,GSE38974,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38974,PMID: 21940491,17 Ctr vs 42 COPD,"Ctr:GSM953088,GSM953089,GSM953090,GSM953091,GSM953092,GSM953093,GSM953094,GSM953095,GSM953096,
COPD 1: GSM953103,GSM953106,GSM953108,GSM953109,GSM953112
COPD 2: GSM953099,GSM953100,GSM953101,GSM953102,GSM953105,GSM953107,GSM953111,GSM953118
COPD 4: GSM953097,GSM953098,GSM953104,GSM953110,GSM953113,GSM953114,GSM953115,GSM953116,GSM953117,GSM953119","1,2,4","Arrays, raw data:
1) GPL4133 Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version)
2) GPL7723 miRCURY LNA microRNA Array, v.11.0 - hsa, mmu & rno",Caucasians,
9,Geo,GSE310058(part of the study GSE313090),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310058,PMID: 41578022,"13 never smoker,
15 Normal spirometry,
29 GOLD 1-2,
25 GOLD 3,
59 GOLD 4","Never smokers: GSM9287452-GSM9287462, 
Normal spirometry: GSM9287463-GSM9287474,
GOLD 1-2: GSM9287475-GSM9287501, 
GOLD 3: GSM9287502-GSM9287525,
GOLD 4: GSM9287526-GSM9287600 ",1-4,"Single nuclear seq, raw data",Black/ White/ Multiracial,
1,Geo,GSE76925,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76925,PMID: 28287180,40 Ctr vs 111 COPD,"Ctr: GSM2040792-GSM2040795, GSM2040798, GSM2040808, GSM2040810, GSM2040818, GSM2040822, GSM2040824, GSM2040837, GSM2040847, GSM2040867, GSM2040878, GSM2040884-GSM2040892, GSM2040894, GSM2040895, GSM2040897-GSM2040899, GSM2040902-GSM2040906, GSM2040917, GSM2040918, GSM2040921-GSM2040923, GSM2040925, GSM2040929.
COPD: GSM2040796, GSM2040797, GSM2040799-GSM2040807, GSM2040809, GSM2040811-GSM2040817, GSM2040819-GSM2040821, GSM2040823, GSM2040825-GSM2040836, GSM2040838-GSM2040846, GSM2040848-GSM2040866, GSM2040868-GSM2040877, GSM2040879-GSM2040883, GSM2040893, GSM2040896, GSM2040900,GSM2040901, GSM2040907-GSM2040916, GSM2040919,GSM2040920, GSM2040924, GSM2040926-GSM2040928, GSM2040930-GSM2040942",3-4,"Arrays, raw data:
GPL10558 Illumina HumanHT-12 V4.0 expression beadchip",Caucasians,
4,Geo,GSE167295,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167295,PMID: 33823868,3 Ctr vs 3 COPD,"Ctr: GSM3660641-GSM3660650(from GSE128033)
COPD: GSM5100998-GSM5101000",3-4,"Sc-RNA seq, raw conuts",Caucasians,
10,Geo,GSE313006(part of the study GSE313090),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313006,PMID: 41578022,4 COPD,"GSM9358871
GSM9358872
GSM9358873 
GSM9358874 ",3-4, Spatial transcriptome,Black/ White/ Multiracial,
11,Geo,GSE173896,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173896,PMID: 36108172,"3 never smokers,
4 non-COPD smokers,
9 COPD"," Never smokers: GSM5282546, GSM5282547, GSM5282548
Non-COPD smokers: GSM5282544, GSM5282545, GSM7882058, GSM7882060
COPD: GSM5282538, GSM5282539, GSM5282540, GSM5282541, GSM5282542, GSM7882055, GSM7882056, GSM7882057, GSM7882059",3-4,"Sc-RNA seq, raw conuts","Asian
(Japanese)",
14,Geo,GSE168299,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168299,PMID: 35078977,Murine COPD lung,"Ctr: GSM5136210-GSM5136213 
COPD: GSM5136206-GSM5136209",NA,"Sc-RNA seq, raw conuts",murine,
15,LTRC,GSE47460,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47460,PMID: 27609773,17 Ctr vs 75 COPD,"Ctr:GSM1149955,GSM1149970,GSM1149999,GSM1150022,GSM1150042,GSM1150083,GSM1150092,GSM1150095,GSM1150107,GSM1150109,GSM1150113,GSM1150114,GSM1150115,GSM1150124,GSM1150128,GSM1150135,GSM1150137
COPD:GSM1149949,GSM1149953,GSM1149954,GSM1149956,GSM1149960,GSM1149961,GSM1149964,GSM1149965,GSM1149967,GSM1149968,GSM1149969,GSM1149972,GSM1149973,GSM1149978,GSM1149979,GSM1149980,GSM1149986,GSM1149989,GSM1149990,GSM1149991,GSM1149995,GSM1150000,GSM1150002,GSM1150003,GSM1150005,GSM1150006,GSM1150007,GSM1150013,GSM1150016,GSM1150020,GSM1150025,GSM1150027,GSM1150029,GSM1150038,GSM1150043,GSM1150044,GSM1150045,GSM1150046,GSM1150047,GSM1150049,GSM1150050,GSM1150052,GSM1150059,GSM1150060,GSM1150061,GSM1150062,GSM1150063,GSM1150064,GSM1150065,GSM1150069,GSM1150071,GSM1150074,GSM1150077,GSM1150082,GSM1150086,GSM1150093,GSM1150099,GSM1150102,GSM1150105,GSM1150112,GSM1150116,GSM1150117,GSM1150120,GSM1150123,GSM1150126,GSM1150127,GSM1150129,GSM1150131,GSM1150133,GSM1150134,GSM1150136,GSM1150138,GSM1150139,GSM1150140,GSM1150141",?,"array, raw data: 
 
1) GPL6480 Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)
2)GPL14550 Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version)",Caucasians(91%)/ Black(6%)/ Asians(0.7%),
16,Geo,GSE269390,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269390,PMID: 39356793,6 COPD,GSM8314258-GSM8314263,?,"Sc-RNA seq, raw conuts",Caucasians,
19,scMoresDB,,https://www.liwzlab.cn/scmoresdb/#/Home,,,,,,,
20,The Idiopathic Pulmonary Fibrosis Cell Atlas,,https://www.ipfcellatlas.com/,,,,,,,
21,dbGaP Advanced Search,,https://dbgap.ncbi.nlm.nih.gov/beta/search/?OBJ=study&TERM=chronic+obstructive+pulmonary+disease,,phs000179，phs001662，phs000951,,,,,
